,negative,neutral,positive,total
acsam,0.0,0.0,1.0,1.0
act,6.0,2.0,6.0,14.0
actaully,0.0,0.0,1.0,1.0
acted,35.0,16.0,11.0,62.0
acting,54.0,13.0,11.0,78.0
activate,1.0,2.0,2.0,5.0
activated,0.0,7.0,4.0,11.0
activating,0.0,0.0,1.0,1.0
active,15.0,31.0,23.0,69.0
actively,1.0,0.0,1.0,2.0
actor,0.0,0.0,1.0,1.0
actorish,1.0,0.0,0.0,1.0
actorly,1.0,0.0,0.0,1.0
actory,1.0,0.0,0.0,1.0
actress,0.0,1.0,0.0,1.0
acts,2.0,3.0,4.0,9.0
actual,44.0,35.0,23.0,102.0
actually,161.0,100.0,258.0,519.0
actualy,1.0,0.0,0.0,1.0
actuate,0.0,0.0,1.0,1.0
actuated,0.0,0.0,1.0,1.0
actuating,0.0,0.0,1.0,1.0
actully,0.0,0.0,1.0,1.0
acurate,0.0,1.0,0.0,1.0
acurately,0.0,0.0,1.0,1.0
acutally,0.0,0.0,1.0,1.0
acute,2.0,0.0,1.0,3.0
acw,0.0,1.0,0.0,1.0
ada,1.0,0.0,0.0,1.0
adad,0.0,0.0,1.0,1.0
adam,10.0,2.0,1.0,13.0
adamant,1.0,0.0,0.0,1.0
adamcsmith,0.0,0.0,1.0,1.0
adame,0.0,0.0,1.0,1.0
adamlawlz,0.0,0.0,1.0,1.0
adamrothwell,0.0,0.0,1.0,1.0
adapt,0.0,2.0,2.0,4.0
adaptable,0.0,0.0,1.0,1.0
adapted,4.0,2.0,0.0,6.0
adapter,0.0,0.0,4.0,4.0
adapting,0.0,0.0,1.0,1.0
adaptor,0.0,0.0,1.0,1.0
adapts,1.0,0.0,0.0,1.0
adatper,0.0,0.0,1.0,1.0
adcontrarian,0.0,0.0,1.0,1.0
add,61.0,100.0,124.0,285.0
addario,0.0,4.0,23.0,27.0
added,13.0,23.0,55.0,91.0
addessi,0.0,1.0,0.0,1.0
addict,1.0,0.0,1.0,2.0
addicted,1.0,0.0,8.0,9.0
addicting,0.0,0.0,5.0,5.0
addictive,1.0,0.0,5.0,6.0
addicts,0.0,0.0,1.0,1.0
addieking,0.0,0.0,1.0,1.0
adding,12.0,3.0,39.0,54.0
additional,13.0,21.0,26.0,60.0
additionally,1.0,2.0,7.0,10.0
addled,0.0,0.0,1.0,1.0
address,12.0,7.0,2.0,21.0
addressed,4.0,0.0,0.0,4.0
addresses,1.0,2.0,1.0,4.0
addressing,2.0,0.0,1.0,3.0
adds,17.0,25.0,34.0,76.0
addtional,0.0,0.0,1.0,1.0
ade,0.0,0.0,1.0,1.0
adelaide,0.0,0.0,1.0,1.0
adele,0.0,0.0,1.0,1.0
adept,1.0,0.0,2.0,3.0
adequate,5.0,24.0,16.0,45.0
adequately,4.0,9.0,4.0,17.0
adhere,1.0,0.0,0.0,1.0
adhering,1.0,0.0,0.0,1.0
adhesive,0.0,0.0,4.0,4.0
adjacent,1.0,1.0,0.0,2.0
adjective,1.0,0.0,0.0,1.0
adjoining,0.0,0.0,1.0,1.0
adjust,4.0,37.0,64.0,105.0
adjustable,8.0,33.0,60.0,101.0
adjusted,0.0,9.0,25.0,34.0
adjusting,13.0,9.0,20.0,42.0
adjustment,0.0,0.0,5.0,5.0
adjustments,0.0,0.0,1.0,1.0
adjusts,0.0,4.0,10.0,14.0
admanic,0.0,0.0,1.0,1.0
admirable,11.0,3.0,2.0,16.0
admirably,4.0,2.0,4.0,10.0
admiral,0.0,0.0,5.0,5.0
admire,7.0,1.0,2.0,10.0
admired,0.0,2.0,0.0,2.0
admiring,1.0,0.0,1.0,2.0
admit,9.0,5.0,18.0,32.0
admitted,3.0,0.0,0.0,3.0
admittedly,5.0,0.0,8.0,13.0
admitting,1.0,0.0,0.0,1.0
adobe,0.0,0.0,1.0,1.0
adobo,0.0,1.0,0.0,1.0
adolescent,8.0,2.0,0.0,10.0
adopt,2.0,0.0,0.0,2.0
adopted,1.0,1.0,0.0,2.0
adopting,1.0,3.0,0.0,4.0
adopts,1.0,0.0,0.0,1.0
adorable,2.0,0.0,9.0,11.0
adorably,2.0,0.0,0.0,2.0
adore,0.0,1.0,1.0,2.0
adored,1.0,0.0,1.0,2.0
adoredesalon,0.0,0.0,1.0,1.0
adoresss,0.0,0.0,1.0,1.0
adoring,1.0,0.0,0.0,1.0
adorned,0.0,1.0,0.0,1.0
adorns,1.0,0.0,0.0,1.0
adrenaline,1.0,0.0,0.0,1.0
adrenalineluke,0.0,0.0,1.0,1.0
adrenalized,1.0,0.0,0.0,1.0
adrian,2.0,1.0,1.0,4.0
adricorn,0.0,0.0,1.0,1.0
adrien,1.0,0.0,0.0,1.0
adroid,0.0,1.0,0.0,1.0
adroit,1.0,1.0,0.0,2.0
adroitly,0.0,1.0,2.0,3.0
adtech,0.0,0.0,2.0,2.0
adult,0.0,1.0,0.0,1.0
adults,1.0,1.0,1.0,3.0
advance,0.0,1.0,2.0,3.0
advanced,19.0,5.0,8.0,32.0
advances,1.0,0.0,0.0,1.0
advancing,1.0,0.0,0.0,1.0
advant,0.0,1.0,0.0,1.0
advantage,0.0,2.0,1.0,3.0
adve,0.0,0.0,1.0,1.0
adventure,4.0,1.0,0.0,5.0
adventurous,5.0,0.0,1.0,6.0
adverse,4.0,0.0,0.0,4.0
advertise,5.0,1.0,2.0,8.0
advertised,4.0,22.0,33.0,59.0
advertisement,1.0,0.0,0.0,1.0
advertises,0.0,4.0,0.0,4.0
advertising,1.0,0.0,1.0,2.0
advertized,0.0,1.0,0.0,1.0
advice,0.0,0.0,1.0,1.0
advisable,0.0,4.0,0.0,4.0
advise,5.0,3.0,0.0,8.0
advised,6.0,1.0,6.0,13.0
advises,1.0,0.0,0.0,1.0
advising,2.0,0.0,0.0,2.0
advisory,5.0,9.0,0.0,14.0
adware,0.0,2.0,0.0,2.0
adyar,0.0,0.0,1.0,1.0
ae,0.0,0.0,1.0,1.0
aerial,1.0,0.0,0.0,1.0
aesome,0.0,0.0,1.0,1.0
aesthetic,24.0,1.0,4.0,29.0
aesthetically,1.0,1.0,3.0,5.0
aex,0.0,1.0,0.0,1.0
af,0.0,1.0,0.0,1.0
afallendevil,0.0,0.0,1.0,1.0
afar,0.0,0.0,1.0,1.0
affable,3.0,0.0,1.0,4.0
affe,0.0,1.0,0.0,1.0
affect,20.0,1.0,18.0,39.0
affected,11.0,7.0,8.0,26.0
affecting,13.0,4.0,6.0,23.0
affectingly,1.0,0.0,0.0,1.0
affectionate,2.0,0.0,0.0,2.0
affectionately,2.0,0.0,0.0,2.0
affects,0.0,0.0,4.0,4.0
affirm,1.0,0.0,0.0,1.0
affirmational,1.0,0.0,0.0,1.0
affirming,10.0,1.0,0.0,11.0
affirms,1.0,0.0,0.0,1.0
affleck,2.0,0.0,0.0,2.0
afflicting,0.0,1.0,0.0,1.0
afflicts,1.0,0.0,0.0,1.0
affluence,1.0,0.0,0.0,1.0
affluent,1.0,0.0,0.0,1.0
affor,0.0,1.0,0.0,1.0
afford,21.0,14.0,22.0,57.0
affordable,4.0,25.0,51.0,80.0
afforded,0.0,1.0,1.0,2.0
affords,1.0,0.0,0.0,1.0
affronted,0.0,1.0,0.0,1.0
afghan,2.0,0.0,0.0,2.0
afiqah,0.0,0.0,1.0,1.0
aflame,1.0,0.0,0.0,1.0
afloat,3.0,1.0,0.0,4.0
aforementioned,1.0,0.0,0.0,1.0
afraid,13.0,3.0,6.0,22.0
afresh,0.0,1.0,0.0,1.0
africa,1.0,0.0,1.0,2.0
african,7.0,1.0,2.0,10.0
afte,1.0,0.0,1.0,2.0
afterall,0.0,0.0,1.0,1.0
afterschool,1.0,0.0,0.0,1.0
afterthephoto,0.0,0.0,1.0,1.0
afterthought,1.0,0.0,0.0,1.0
afterward,0.0,1.0,0.0,1.0
afthernoo,0.0,0.0,1.0,1.0
aftr,1.0,0.0,0.0,1.0
aftre,0.0,0.0,1.0,1.0
afycso,0.0,0.0,1.0,1.0
ag,0.0,0.0,2.0,2.0
aga,1.0,0.0,0.0,1.0
agai,1.0,0.0,1.0,2.0
again,372.0,147.0,336.0,855.0
agains,1.0,0.0,0.0,1.0
agape,1.0,0.0,0.0,1.0
aged,9.0,8.0,1.0,18.0
agen,0.0,0.0,1.0,1.0
agent,13.0,1.0,2.0,16.0
ages,0.0,0.0,1.0,1.0
agey,1.0,0.0,0.0,1.0
aggiemensgolf,0.0,1.0,0.0,1.0
aggrandizing,2.0,0.0,0.0,2.0
aggravated,1.0,0.0,0.0,1.0
aggravating,2.0,1.0,1.0,4.0
aggresive,0.0,0.0,1.0,1.0
aggressive,5.0,1.0,10.0,16.0
aggressively,3.0,3.0,2.0,8.0
aggrieved,1.0,0.0,0.0,1.0
agian,1.0,0.0,0.0,1.0
agile,1.0,0.0,1.0,2.0
agilitymoo,0.0,0.0,1.0,1.0
aging,6.0,0.0,2.0,8.0
agnostic,1.0,0.0,0.0,1.0
ago,197.0,39.0,90.0,326.0
agonizing,1.0,1.0,0.0,2.0
agood,0.0,1.0,0.0,1.0
agre,0.0,0.0,1.0,1.0
agree,4.0,5.0,37.0,46.0
agreeable,0.0,5.0,1.0,6.0
agreeably,1.0,1.0,0.0,2.0
agreed,1.0,5.0,2.0,8.0
agreeing,0.0,0.0,1.0,1.0
agrees,0.0,0.0,1.0,1.0
agressive,0.0,0.0,1.0,1.0
aground,1.0,0.0,0.0,1.0
agt,1.0,0.0,2.0,3.0
aguilar,0.0,0.0,1.0,1.0
ah,7.0,0.0,22.0,29.0
aha,0.0,0.0,4.0,4.0
ahahah,0.0,0.0,1.0,1.0
ahahaha,0.0,0.0,3.0,3.0
ahahahaha,0.0,0.0,1.0,1.0
ahahhaha,0.0,0.0,1.0,1.0
ahan,0.0,0.0,1.0,1.0
ahdchild,0.0,0.0,1.0,1.0
ahe,0.0,0.0,1.0,1.0
ahead,20.0,5.0,39.0,64.0
aheil,0.0,0.0,1.0,1.0
ahh,0.0,0.0,7.0,7.0
ahhh,0.0,0.0,5.0,5.0
ahhhh,1.0,0.0,7.0,8.0
ahhhhhhh,0.0,0.0,1.0,1.0
ahissrich,0.0,0.0,1.0,1.0
ahluscu,0.0,0.0,1.0,1.0
ahm,0.0,0.0,1.0,1.0
ahola,0.0,1.0,0.0,1.0
ahold,0.0,1.0,0.0,1.0
ai,6.0,5.0,3.0,14.0
aidan,0.0,0.0,1.0,1.0
aided,1.0,0.0,0.0,1.0
aiden,0.0,0.0,1.0,1.0
aidenchan,0.0,0.0,1.0,1.0
aif,0.0,1.0,0.0,1.0
aigburtharmsdo,0.0,0.0,1.0,1.0
aikabelle,0.0,0.0,1.0,1.0
aiki,0.0,0.0,1.0,1.0
aikido,0.0,0.0,1.0,1.0
ailing,0.0,2.0,0.0,2.0
aim,2.0,0.0,1.0,3.0
aimed,8.0,1.0,3.0,12.0
aiming,1.0,0.0,1.0,2.0
aimless,2.0,0.0,0.0,2.0
aimlessly,3.0,0.0,0.0,3.0
aims,6.0,0.0,1.0,7.0
ain,1.0,5.0,9.0,15.0
aint,0.0,0.0,3.0,3.0
air,8.0,0.0,4.0,12.0
airborn,0.0,4.0,0.0,4.0
airborne,1.0,1.0,1.0,3.0
airbourne,0.0,0.0,1.0,1.0
airbus,1.0,0.0,0.0,1.0
aircraft,1.0,0.0,0.0,1.0
aircrft,1.0,0.0,0.0,1.0
aired,0.0,0.0,2.0,2.0
aires,1.0,0.0,0.0,1.0
airfare,1.0,0.0,0.0,1.0
airhead,1.0,0.0,1.0,2.0
airing,4.0,0.0,2.0,6.0
airl,1.0,0.0,0.0,1.0
airless,1.0,0.0,0.0,1.0
airlin,2.0,0.0,0.0,2.0
airlinegave,1.0,0.0,0.0,1.0
airlines,3.0,0.0,0.0,3.0
airnchoo,0.0,0.0,1.0,1.0
airplane,1.0,0.0,0.0,1.0
airport,18.0,2.0,5.0,25.0
airrun,0.0,0.0,1.0,1.0
airs,1.0,1.0,0.0,2.0
airstairs,1.0,0.0,0.0,1.0
airtight,0.0,0.0,1.0,1.0
airtime,0.0,0.0,1.0,1.0
airw,2.0,0.0,0.0,2.0
airwa,0.0,1.0,0.0,1.0
airways,21.0,25.0,4.0,50.0
airy,1.0,0.0,3.0,4.0
aisle,2.0,0.0,0.0,2.0
ajq,0.0,0.0,1.0,1.0
ak,0.0,0.0,1.0,1.0
aka,1.0,0.0,1.0,2.0
akajipster,0.0,0.0,1.0,1.0
akali,0.0,0.0,1.0,1.0
akg,0.0,0.0,3.0,3.0
akgcandlefish,0.0,0.0,1.0,1.0
akin,3.0,1.0,3.0,7.0
akira,0.0,0.0,1.0,1.0
akshatk,0.0,0.0,1.0,1.0
aktually,0.0,0.0,1.0,1.0
al,4.0,1.0,11.0,16.0
alabama,1.0,0.0,1.0,2.0
alain,1.0,0.0,0.0,1.0
alameda,0.0,0.0,1.0,1.0
alamo,1.0,0.0,0.0,1.0
alan,1.0,0.0,2.0,3.0
alancarr,0.0,0.0,1.0,1.0
alancostello,0.0,0.0,1.0,1.0
alarmed,0.0,1.0,0.0,1.0
alarming,1.0,1.0,1.0,3.0
alarmingly,0.0,0.0,1.0,1.0
alas,2.0,2.0,1.0,5.0
alaska,0.0,2.0,1.0,3.0
alb,1.0,0.0,0.0,1.0
albany,1.0,0.0,1.0,2.0
albert,0.0,4.0,0.0,4.0
album,1.0,0.0,5.0,6.0
albums,0.0,0.0,1.0,1.0
albuquerque,0.0,2.0,0.0,2.0
alcatraz,1.0,0.0,0.0,1.0
alchemical,1.0,0.0,0.0,1.0
alchohol,0.0,0.0,1.0,1.0
alcoholic,0.0,1.0,0.0,1.0
aldrich,1.0,0.0,0.0,1.0
aled,0.0,0.0,1.0,1.0
alefragisp,0.0,0.0,1.0,1.0
alert,5.0,0.0,2.0,7.0
alerted,2.0,0.0,0.0,2.0
alesa,0.0,0.0,1.0,1.0
alex,0.0,3.0,4.0,7.0
alexa,0.0,36.0,1.0,37.0
alexandramusic,0.0,0.0,3.0,3.0
alexandre,2.0,0.0,0.0,2.0
alexcraven,0.0,0.0,1.0,1.0
alexiaaa,0.0,0.0,1.0,1.0
alexjreid,0.0,0.0,1.0,1.0
alexpuig,0.0,0.0,1.0,1.0
alfamilyoffour,1.0,0.0,0.0,1.0
alfie,0.0,0.0,1.0,1.0
alfonso,1.0,0.0,0.0,1.0
alfred,3.0,1.0,0.0,4.0
algorithmic,0.0,0.0,1.0,1.0
ali,2.0,0.0,2.0,4.0
alias,0.0,1.0,0.0,1.0
alicam,0.0,0.0,1.0,1.0
alicia,0.0,0.0,2.0,2.0
alien,2.0,0.0,3.0,5.0
alienate,1.0,0.0,3.0,4.0
alienated,1.0,1.0,0.0,2.0
alienating,2.0,1.0,0.0,3.0
aliens,1.0,0.0,0.0,1.0
alight,0.0,1.0,0.0,1.0
align,21.0,0.0,0.0,21.0
aligned,4.0,0.0,2.0,6.0
alignment,0.0,0.0,3.0,3.0
alike,4.0,0.0,4.0,8.0
alirght,0.0,0.0,1.0,1.0
alist,1.0,0.0,0.0,1.0
alittle,0.0,2.0,1.0,3.0
alive,35.0,11.0,12.0,58.0
alix,0.0,0.0,1.0,1.0
alkaline,0.0,0.0,1.0,1.0
all,3.0,0.0,8.0,11.0
alleged,1.0,2.0,0.0,3.0
allegedly,2.0,1.0,0.0,3.0
allegorical,0.0,1.0,0.0,1.0
allegro,0.0,0.0,1.0,1.0
allen,13.0,3.0,2.0,18.0
allergic,2.0,0.0,0.0,2.0
alleviate,2.0,0.0,1.0,3.0
alley,0.0,0.0,1.0,1.0
allied,1.0,0.0,0.0,1.0
allison,1.0,0.0,0.0,1.0
allll,1.0,0.0,0.0,1.0
alllllll,0.0,0.0,1.0,1.0
allmost,0.0,0.0,1.0,1.0
allodi,0.0,0.0,1.0,1.0
alloted,0.0,0.0,1.0,1.0
allow,39.0,21.0,49.0,109.0
allowable,1.0,0.0,0.0,1.0
allowed,21.0,17.0,8.0,46.0
allowing,15.0,7.0,23.0,45.0
allows,25.0,13.0,50.0,88.0
alloy,0.0,0.0,2.0,2.0
allready,1.0,0.0,0.0,1.0
allright,0.0,1.0,0.0,1.0
allthe,0.0,1.0,0.0,1.0
alluring,3.0,0.0,0.0,3.0
allways,0.0,0.0,1.0,1.0
ally,1.0,0.0,0.0,1.0
allying,0.0,1.0,0.0,1.0
alm,0.0,0.0,1.0,1.0
almo,1.0,0.0,0.0,1.0
almod,0.0,1.0,0.0,1.0
almodovar,1.0,0.0,0.0,1.0
almonds,0.0,0.0,1.0,1.0
almost,184.0,108.0,204.0,496.0
alnico,0.0,0.0,1.0,1.0
alo,0.0,0.0,1.0,1.0
aloft,1.0,0.0,1.0,2.0
alone,39.0,23.0,43.0,105.0
along,14.0,16.0,20.0,50.0
alongside,0.0,1.0,2.0,3.0
alot,1.0,0.0,5.0,6.0
alota,0.0,0.0,1.0,1.0
alpha,0.0,0.0,1.0,1.0
alrdy,0.0,0.0,1.0,1.0
alrea,0.0,0.0,1.0,1.0
alread,1.0,0.0,0.0,1.0
already,171.0,93.0,170.0,434.0
alright,5.0,13.0,16.0,34.0
also,374.0,315.0,635.0,1324.0
alson,1.0,0.0,0.0,1.0
alt,2.0,0.0,0.0,2.0
alter,1.0,4.0,0.0,5.0
altered,1.0,0.0,2.0,3.0
altering,1.0,4.0,1.0,6.0
altern,1.0,0.0,0.0,1.0
alternate,11.0,0.0,5.0,16.0
alternately,7.0,1.0,0.0,8.0
alternating,2.0,0.0,0.0,2.0
alternative,5.0,5.0,11.0,21.0
alternatively,0.0,0.0,3.0,3.0
alters,0.0,0.0,1.0,1.0
althought,0.0,1.0,0.0,1.0
altitude,0.0,1.0,0.0,1.0
altman,2.0,0.0,0.0,2.0
alto,0.0,0.0,4.0,4.0
altogether,9.0,0.0,8.0,17.0
altonbrownlive,0.0,0.0,1.0,1.0
alun,0.0,0.0,1.0,1.0
alvarez,0.0,0.0,2.0,2.0
alvin,0.0,0.0,1.0,1.0
alwa,2.0,0.0,0.0,2.0
always,140.0,95.0,381.0,616.0
alwaysdelayed,1.0,0.0,0.0,1.0
alwaysdelayedo,1.0,0.0,0.0,1.0
alwayshappensthere,1.0,0.0,0.0,1.0
alweer,0.0,0.0,1.0,1.0
alwys,0.0,0.0,1.0,1.0
alyssaavant,0.0,0.0,1.0,1.0
alyssabernal,0.0,0.0,1.0,1.0
alzheimer,0.0,1.0,0.0,1.0
am,515.0,302.0,784.0,1601.0
ama,0.0,0.0,1.0,1.0
amaaazing,0.0,0.0,1.0,1.0
amalakar,0.0,0.0,1.0,1.0
amalgamating,0.0,1.0,0.0,1.0
amandadiva,0.0,0.0,1.0,1.0
amarillo,1.0,0.0,0.0,1.0
amason,0.0,1.0,0.0,1.0
amassed,1.0,0.0,0.0,1.0
amateur,2.0,1.0,6.0,9.0
amateurish,14.0,0.0,1.0,15.0
amateurishly,2.0,1.0,1.0,4.0
amaz,0.0,0.0,1.0,1.0
amaze,2.0,1.0,1.0,4.0
amazed,5.0,5.0,19.0,29.0
amazes,0.0,0.0,1.0,1.0
amaziiiing,0.0,0.0,1.0,1.0
amaziiing,0.0,0.0,1.0,1.0
amaziing,0.0,0.0,1.0,1.0
amazin,0.0,0.0,2.0,2.0
amazing,38.0,37.0,223.0,298.0
amazingg,0.0,0.0,1.0,1.0
amazingly,13.0,8.0,21.0,42.0
amazingphoebe,0.0,0.0,1.0,1.0
amazon,30.0,164.0,40.0,234.0
amazonhas,0.0,0.0,1.0,1.0
amazons,0.0,1.0,0.0,1.0
amazontc,0.0,4.0,0.0,4.0
amazonthe,0.0,0.0,1.0,1.0
amber,0.0,0.0,3.0,3.0
amberausten,0.0,0.0,1.0,1.0
amberlily,0.0,0.0,1.0,1.0
amberlovely,0.0,0.0,2.0,2.0
ambi,0.0,0.0,1.0,1.0
ambiguous,5.0,1.0,0.0,6.0
ambitious,24.0,5.0,1.0,30.0
ambitiously,1.0,0.0,0.0,1.0
ambivalent,1.0,0.0,0.0,1.0
amble,1.0,0.0,0.0,1.0
ambling,0.0,0.0,1.0,1.0
ambrose,1.0,1.0,0.0,2.0
amc,0.0,1.0,0.0,1.0
